domain,outlet,country,language,source,raw_score,mapped_score,last_updated,notes
bbc.com,BBC News,UK,English,Heuristic,0.95,0.90,2025-11-14,High editorial standards
reuters.com,Reuters,Global,English,Heuristic,0.98,0.95,2025-11-14,Most reliable wire service
apnews.com,Associated Press (AP),USA,English,Heuristic,0.98,0.95,2025-11-14,Highly reliable
theguardian.com,The Guardian,UK,English,Heuristic,0.93,0.88,2025-11-14,Global reporting depth
nytimes.com,New York Times (NYT),USA,English,Heuristic,0.94,0.90,2025-11-14,Major US newspaper
washingtonpost.com,Washington Post,USA,English,Heuristic,0.95,0.90,2025-11-14,High-quality investigative work
npr.org,NPR,USA,English,Heuristic,0.93,0.88,2025-11-14,Nonprofit newsroom
cnn.com,CNN,USA,English,Heuristic,0.85,0.75,2025-11-14,Mainstream but sometimes sensational
foxnews.com,Fox News,USA,English,Heuristic,0.65,0.50,2025-11-14,Mixed factual reliability
msnbc.com,MSNBC,USA,English,Heuristic,0.70,0.55,2025-11-14,Opinion heavy
latimes.com,Los Angeles Times,USA,English,Heuristic,0.90,0.85,2025-11-14,Respected regional US paper
thehill.com,The Hill,USA,English,Heuristic,0.82,0.72,2025-11-14,Politics-focused outlet
politico.com,Politico,USA,English,Heuristic,0.90,0.82,2025-11-14,Accurate political reporting
time.com,TIME Magazine,USA,English,Heuristic,0.87,0.78,2025-11-14,General news + analysis
economist.com,The Economist,UK,English,Heuristic,0.94,0.90,2025-11-14,Analysis-heavy but reliable
ft.com,Financial Times,UK,English,Heuristic,0.96,0.92,2025-11-14,Highly reliable financial journalism
aljazeera.com,Al Jazeera English,Qatar (Global),English,Heuristic,0.90,0.85,2025-11-14,Strong int'l reporting
voanews.com,Voice of America (VOA),USA,English,Heuristic,0.90,0.82,2025-11-14,US govt-funded global news
abcnews.go.com,ABC News,USA,English,Heuristic,0.88,0.80,2025-11-14,US broadcaster
nbcnews.com,NBC News,USA,English,Heuristic,0.86,0.78,2025-11-14,Mainstream TV news
cbsnews.com,CBS News,USA,English,Heuristic,0.87,0.79,2025-11-14,Mainstream TV news
usatoday.com,USA Today,USA,English,Heuristic,0.83,0.72,2025-11-14,Large US daily
newsweek.com,Newsweek,USA,English,Heuristic,0.75,0.60,2025-11-14,Mixed
forbes.com,Forbes,USA,English,Heuristic,0.78,0.65,2025-11-14,Contributor model, varied accuracy
businessinsider.com,Business Insider,USA,English,Heuristic,0.82,0.72,2025-11-14,Business-focused
theverge.com,The Verge,USA,English,Heuristic,0.80,0.70,2025-11-14,Tech-focused
techcrunch.com,TechCrunch,USA,English,Heuristic,0.82,0.73,2025-11-14,Tech news
arstechnica.com,Ars Technica,USA,English,Heuristic,0.90,0.85,2025-11-14,High accuracy tech reporting
scmp.com,South China Morning Post (English),Hong Kong,English,Heuristic,0.85,0.75,2025-11-14,English edition fairly reliable
straitstimes.com,The Straits Times,Singapore,English,Heuristic,0.88,0.80,2025-11-14,Reputable English-language daily
thehindu.com,The Hindu,India,English,Heuristic,0.86,0.78,2025-11-14,High standard Indian newspaper
hindustantimes.com,Hindustan Times,India,English,Heuristic,0.80,0.70,2025-11-14,Mainstream Indian outlet
indianexpress.com,Indian Express,India,English,Heuristic,0.87,0.78,2025-11-14,Strong investigative journalism
timesofindia.com,Times of India,India,English,Heuristic,0.78,0.65,2025-11-14,Large but varied quality
globaltimes.cn,Global Times (English),China,English,Heuristic,0.30,0.20,2025-11-14,State backed; low credibility
chinadaily.com.cn,China Daily (English),China,English,Heuristic,0.40,0.30,2025-11-14,State media
rt.com,RT (Russia Today),Russia,English,Heuristic,0.30,0.20,2025-11-14,Propaganda concerns
sputniknews.com,Sputnik News,Russia,English,Heuristic,0.20,0.10,2025-11-14,Low factual accuracy
tass.com,TASS (English),Russia,English,Heuristic,0.35,0.25,2025-11-14,State news agency
